BinNumber	Soil	Trt	BoxNumber	Height	Mass
6	ArbN	(+)	6	30.3	0.26
6	ArbN	(+)	6	29.2	0.17
6	ArbN	(+)	6	29.6	0.19
6	ArbN	(+)	6	25.6	0.12
6	ArbN	(+)	7	23.6	0.11
6	ArbN	(+)	7	29.1	0.13
6	ArbN	(+)	7	32.4	0.21
6	ArbN	(+)	7	32.2	0.22
6	ArbN	(+)	7	30.4	0.14
6	ArbN	(+)	7	28.3	0.16
6	ArbN	(+)	7	31	0.19
6	ArbN	(+)	7	22.3	0.13
6	ArbN	(+)	8	22.3	0.09
6	ArbN	(+)	8	32.1	0.22
6	ArbN	(+)	8	29.2	0.16
6	ArbN	(+)	8	32.3	0.17
6	ArbN	(+)	8	30.2	0.14
6	ArbN	(+)	8	27.1	0.15
6	ArbN	(+)	8	26.5	0.14
6	ArbN	(+)	8	29.5	0.17
6	ArbN	(+)	8	25.8	0.09
9	ArbA	-	1	28.2	0.15
9	ArbA	-	1	31.5	0.21
9	ArbA	-	1	13	0.06
9	ArbA	-	1	26.3	0.13
9	ArbA	-	1	18.5	0.07
9	ArbA	-	1	26.2	0.12
9	ArbA	-	1	23.8	0.1
9	ArbA	-	1	26.5	0.15
9	ArbA	-	1	22.8	0.15
9	ArbA	-	1	22.4	0.11
9	ArbA	-	2	23.2	0.12
9	ArbA	-	2	19	0.1
9	ArbA	-	2	24.6	0.12
9	ArbA	-	2	22.9	0.09
9	ArbA	-	2	28.5	0.15
9	ArbA	-	2	28.2	0.17
9	ArbA	-	2	29.4	0.18
9	ArbA	-	2	23.7	0.11
9	ArbA	-	3	26.4	0.13
9	ArbA	-	3	24.2	0.15
9	ArbA	-	3	30	0.17
9	ArbA	-	3	26.6	0.16
9	ArbA	-	3	26.9	0.16
9	ArbA	-	3	24.2	0.13
9	ArbA	-	3	23.5	0.14
9	ArbA	-	3	23.1	0.15
9	ArbA	-	4	29.5	0.17
9	ArbA	-	4	28.6	0.2
9	ArbA	-	4	26.5	0.16
9	ArbA	-	4	27.8	0.17
9	ArbA	-	4	23.3	0.12
9	ArbA	-	4	24.3	0.13
9	ArbA	-	4	25.2	0.15
9	ArbA	-	4	26.5	0.14
9	ArbA	-	5	25.6	0.14
9	ArbA	-	5	27.2	0.14
9	ArbA	-	5	24.9	0.14
9	ArbA	-	5	28.5	0.17
9	ArbA	-	5	20.2	0.12
9	ArbA	-	5	12.2	0.06
9	ArbA	-	5	25.9	0.15
9	ArbA	-	5	24.6	0.15
9	ArbA	-	5	29.7	0.16
9	ArbA	-	6	20	0.11
9	ArbA	-	6	23.2	0.13
9	ArbA	-	6	28.1	0.17
9	ArbA	-	6	30.1	0.19
9	ArbA	-	6	24.7	0.16
9	ArbA	-	6	16.2	0.07
9	ArbA	-	6	26.5	0.17
9	ArbA	-	6	24.2	0.12
9	ArbA	-	6	18.3	0.08
9	ArbA	-	7	27.6	0.18
9	ArbA	-	7	24	0.13
9	ArbA	-	7	25.1	0.11
9	ArbA	-	7	23.9	0.11
9	ArbA	-	7	23.5	0.12
9	ArbA	-	7	22.9	0.1
9	ArbA	-	7	21.3	0.12
9	ArbA	-	7	24.2	0.12
9	ArbA	-	8	24.5	0.12
9	ArbA	-	8	25.2	0.12
9	ArbA	-	8	26.1	0.15
9	ArbA	-	8	25.2	0.13
9	ArbA	-	8	25.7	0.12
9	ArbA	-	8	27.1	0.16
9	ArbA	-	8	26.4	0.14
9	ArbA	-	8	25	0.12
14	ArbA	(+)	1	23	0.07
14	ArbA	(+)	1	20.5	0.09
14	ArbA	(+)	1	24.7	0.11
14	ArbA	(+)	1	27.8	0.14
14	ArbA	(+)	1	25.8	0.11
14	ArbA	(+)	1	25.6	0.13
14	ArbA	(+)	1	27.2	0.12
14	ArbA	(+)	1	13.4	0.05
14	ArbA	(+)	1	23.6	0.1
14	ArbA	(+)	2	19	0.08
14	ArbA	(+)	2	26.4	0.13
14	ArbA	(+)	2	21.9	0.08
14	ArbA	(+)	2	19.4	0.07
14	ArbA	(+)	2	25.5	0.12
14	ArbA	(+)	2	11.6	0.04
14	ArbA	(+)	2	16.1	0.07
14	ArbA	(+)	2	26.8	0.16
14	ArbA	(+)	2	27.3	0.13
14	ArbA	(+)	2	24.5	0.08
14	ArbA	(+)	2	25.6	0.1
14	ArbA	(+)	3	22.6	0.09
14	ArbA	(+)	3	30	0.2
14	ArbA	(+)	3	24.6	0.11
14	ArbA	(+)	3	26.7	0.13
14	ArbA	(+)	3	22.1	0.12
14	ArbA	(+)	3	28.7	0.13
14	ArbA	(+)	3	27.1	0.13
14	ArbA	(+)	3	21.8	0.12
14	ArbA	(+)	4	26.9	0.15
14	ArbA	(+)	4	28.2	0.14
14	ArbA	(+)	4	16.8	0.06
14	ArbA	(+)	4	28	0.15
14	ArbA	(+)	4	21.3	0.09
14	ArbA	(+)	4	27.4	0.12
14	ArbA	(+)	4	26.1	0.13
14	ArbA	(+)	4	25.6	0.14
14	ArbA	(+)	4	21.8	0.11
14	ArbA	(+)	5	13.9	0.04
14	ArbA	(+)	5	23	0.11
14	ArbA	(+)	5	26.1	0.13
14	ArbA	(+)	5	16.5	0.08
14	ArbA	(+)	5	28.3	0.17
14	ArbA	(+)	5	28.5	0.15
14	ArbA	(+)	5	26.6	0.13
14	ArbA	(+)	5	27.1	0.14
14	ArbA	(+)	6	28.4	0.15
14	ArbA	(+)	6	24.8	0.13
14	ArbA	(+)	6	22.1	0.09
14	ArbA	(+)	6	23.6	0.1
14	ArbA	(+)	6	24.4	0.16
14	ArbA	(+)	6	20.2	0.07
14	ArbA	(+)	6	19.3	0.11
14	ArbA	(+)	7	27.2	0.16
14	ArbA	(+)	7	24.5	0.08
14	ArbA	(+)	7	19.2	0.09
14	ArbA	(+)	7	24.6	0.14
14	ArbA	(+)	7	16	0.07
14	ArbA	(+)	7	24.7	0.13
14	ArbA	(+)	7	18.4	0.07
14	ArbA	(+)	7	15.9	0.05
14	ArbA	(+)	7	19.3	0.07
14	ArbA	(+)	8	26.5	0.15
14	ArbA	(+)	8	24.7	0.09
14	ArbA	(+)	8	22.3	0.08
14	ArbA	(+)	8	26.5	0.11
14	ArbA	(+)	8	27.1	0.12
14	ArbA	(+)	8	22.3	0.1
14	ArbA	(+)	8	22.5	0.09
14	ArbA	(+)	8	23.2	0.09
7	ArbA	(+)	1	27.5	0.14
7	ArbA	(+)	1	28.4	0.15
7	ArbA	(+)	1	18.1	0.05
7	ArbA	(+)	1	19.8	0.1
7	ArbA	(+)	1	28.1	0.14
7	ArbA	(+)	1	27.2	0.15
7	ArbA	(+)	1	26.6	0.13
7	ArbA	(+)	1	25.6	0.12
7	ArbA	(+)	2	26.5	0.13
7	ArbA	(+)	2	24.4	0.11
7	ArbA	(+)	2	22.8	0.08
7	ArbA	(+)	2	19.7	0.06
7	ArbA	(+)	2	26.3	0.11
7	ArbA	(+)	2	25.4	0.14
7	ArbA	(+)	2	26.2	0.04
7	ArbA	(+)	2	24.4	0.11
7	ArbA	(+)	2	27.7	0.15
7	ArbA	(+)	3	26.5	0.12
7	ArbA	(+)	3	26.7	0.14
7	ArbA	(+)	3	31.2	0.14
7	ArbA	(+)	3	21.2	0.08
7	ArbA	(+)	3	24.3	0.1
7	ArbA	(+)	3	24.6	0.1
7	ArbA	(+)	3	25.8	0.12
7	ArbA	(+)	3	24.6	0.1
7	ArbA	(+)	4	13.5	0.05
7	ArbA	(+)	4	24.8	0.12
7	ArbA	(+)	4	25.4	0.13
7	ArbA	(+)	4	21.8	0.09
7	ArbA	(+)	4	21.6	0.08
7	ArbA	(+)	4	21.2	0.1
7	ArbA	(+)	4	26.2	0.11
7	ArbA	(+)	4	28.1	0.14
7	ArbA	(+)	4	28.6	0.14
7	ArbA	(+)	5	17	0.07
7	ArbA	(+)	5	25.4	0.09
7	ArbA	(+)	5	24	0.08
7	ArbA	(+)	5	24.1	0.13
7	ArbA	(+)	5	28.7	0.1
7	ArbA	(+)	5	23.9	0.09
7	ArbA	(+)	5	28.4	0.12
7	ArbA	(+)	5	28.9	0.14
7	ArbA	(+)	6	24.6	0.1
7	ArbA	(+)	6	25.6	0.09
7	ArbA	(+)	6	29.6	0.14
7	ArbA	(+)	6	27.8	0.12
7	ArbA	(+)	6	23.7	0.09
7	ArbA	(+)	6	28.2	0.14
7	ArbA	(+)	6	29.4	0.15
7	ArbA	(+)	7	27.7	0.12
7	ArbA	(+)	7	21.7	0.07
7	ArbA	(+)	7	19.6	0.08
7	ArbA	(+)	7	28	0.13
7	ArbA	(+)	7	22.8	0.08
7	ArbA	(+)	7	23.2	0.12
7	ArbA	(+)	7	20.4	0.1
7	ArbA	(+)	7	30.5	0.15
7	ArbA	(+)	7	30.7	0.15
7	ArbA	(+)	8	27.7	0.13
7	ArbA	(+)	8	25.4	0.1
7	ArbA	(+)	8	25.2	0.09
7	ArbA	(+)	8	27	0.13
7	ArbA	(+)	8	29.3	0.15
7	ArbA	(+)	8	25.6	0.14
7	ArbA	(+)	8	21	0.06
7	ArbA	(+)	8	27.8	0.12
5	SacN	-	1	29.4	0.16
5	SacN	-	1	25.6	0.09
5	SacN	-	1	33.1	0.23
5	SacN	-	1	30.6	0.23
5	SacN	-	1	29.5	0.2
5	SacN	-	1	30.6	0.17
5	SacN	-	1	28.1	0.16
5	SacN	-	1	29.2	0.17
5	SacN	-	2	30	0.13
5	SacN	-	2	32.2	0.23
5	SacN	-	2	30.1	0.2
5	SacN	-	2	29.8	0.2
5	SacN	-	2	21	0.12
5	SacN	-	2	28.7	0.14
5	SacN	-	2	29.4	0.17
5	SacN	-	2	27.2	0.14
5	SacN	-	2	29.6	0.13
5	SacN	-	3	22.6	0.08
5	SacN	-	3	36.4	0.2
5	SacN	-	3	35.2	0.19
5	SacN	-	3	38.6	0.25
5	SacN	-	3	34.5	0.17
5	SacN	-	3	36.8	0.26
5	SacN	-	3	37.8	0.21
5	SacN	-	3	34.2	0.17
5	SacN	-	4	29.3	0.18
5	SacN	-	4	19.6	0.07
5	SacN	-	4	31.5	0.17
5	SacN	-	4	25.7	0.15
5	SacN	-	4	27.5	0.12
5	SacN	-	4	28	0.14
5	SacN	-	4	30.6	0.17
5	SacN	-	4	30.1	0.17
5	SacN	-	5	35	0.16
5	SacN	-	5	26.5	0.1
5	SacN	-	5	28.1	0.16
5	SacN	-	5	39	0.22
5	SacN	-	5	39.3	0.23
5	SacN	-	5	35.2	0.2
5	SacN	-	5	34.1	0.18
5	SacN	-	5	34.5	0.2
5	SacN	-	6	31.6	0.19
5	SacN	-	6	31.2	0.16
5	SacN	-	6	32.2	0.17
5	SacN	-	6	29.6	0.19
5	SacN	-	6	31	0.14
5	SacN	-	6	18.5	0.07
5	SacN	-	6	30.4	0.15
5	SacN	-	6	27.5	0.13
5	SacN	-	7	30	0.21
5	SacN	-	7	26.6	0.14
5	SacN	-	7	26.7	0.13
5	SacN	-	7	29.6	0.26
5	SacN	-	7	31.5	0.21
5	SacN	-	7	30.1	0.14
5	SacN	-	7	30.4	0.17
5	SacN	-	7	31.3	0.23
5	SacN	-	8	33	0.18
5	SacN	-	8	28.6	0.12
5	SacN	-	8	18.2	0.07
5	SacN	-	8	22.1	0.08
5	SacN	-	8	29.5	0.14
5	SacN	-	8	16.7	0.05
5	SacN	-	8	26	0.13
5	SacN	-	8	31.4	0.18
5	SacN	-	8	26.7	0.1
5	SacN	-	8	31.8	0.15
5	SacN	-	8	25.6	0.1
2	BiggsA	-	1	26.6	0.13
2	BiggsA	-	1	30.6	0.17
2	BiggsA	-	1	29.8	0.15
2	BiggsA	-	1	30	0.15
2	BiggsA	-	1	25.2	0.09
2	BiggsA	-	1	31	0.18
2	BiggsA	-	1	28.7	0.13
2	BiggsA	-	1	31.2	0.2
2	BiggsA	-	1	29	0.18
2	BiggsA	-	2	30.1	0.14
2	BiggsA	-	2	27.5	0.14
2	BiggsA	-	2	20.6	0.09
2	BiggsA	-	2	26.2	0.16
2	BiggsA	-	2	26	0.1
2	BiggsA	-	2	24.1	0.13
2	BiggsA	-	2	28	0.14
2	BiggsA	-	2	26.4	0.11
2	BiggsA	-	3	16.5	0.05
2	BiggsA	-	3	19.1	0.07
2	BiggsA	-	3	30	0.18
2	BiggsA	-	3	26.5	0.12
2	BiggsA	-	3	27.4	0.14
2	BiggsA	-	3	26.8	0.12
2	BiggsA	-	3	22.7	0.11
2	BiggsA	-	3	24.5	0.09
2	BiggsA	-	4	29.6	0.16
2	BiggsA	-	4	23.3	0.12
2	BiggsA	-	4	19	0.09
2	BiggsA	-	4	26.6	0.11
2	BiggsA	-	4	20.5	0.09
2	BiggsA	-	4	24.1	0.09
2	BiggsA	-	4	26.8	0.12
2	BiggsA	-	4	26.5	0.11
2	BiggsA	-	5	17.8	0.08
2	BiggsA	-	5	29	0.13
2	BiggsA	-	5	29.6	0.17
2	BiggsA	-	5	28.1	0.16
2	BiggsA	-	5	29.1	0.12
2	BiggsA	-	5	26.2	0.11
2	BiggsA	-	5	32	0.16
2	BiggsA	-	5	31.2	0.16
2	BiggsA	-	5	23.8	0.09
2	BiggsA	-	5	23.9	0.09
2	BiggsA	-	6	30.4	0.14
2	BiggsA	-	6	29.3	0.12
2	BiggsA	-	6	28.2	0.14
2	BiggsA	-	6	21.6	0.1
2	BiggsA	-	6	30.5	0.18
2	BiggsA	-	6	29.2	0.14
2	BiggsA	-	6	32.5	0.16
2	BiggsA	-	6	24	0.12
2	BiggsA	-	6	21	0.08
2	BiggsA	-	7	28.2	0.2
2	BiggsA	-	7	27	0.13
2	BiggsA	-	7	23.4	0.13
2	BiggsA	-	7	27.4	0.13
2	BiggsA	-	7	28.6	0.16
2	BiggsA	-	7	29.9	0.14
2	BiggsA	-	7	27.5	0.15
2	BiggsA	-	7	28	0.18
2	BiggsA	-	8	26.5	0.1
2	BiggsA	-	8	30.7	0.16
2	BiggsA	-	8	29	0.13
2	BiggsA	-	8	29.3	0.15
2	BiggsA	-	8	30.6	0.18
2	BiggsA	-	8	27	0.13
2	BiggsA	-	8	34.2	0.18
2	BiggsA	-	8	33.9	0.18
3	BiggsA	(+)	1	14.5	0.06
3	BiggsA	(+)	1	15.4	0.06
3	BiggsA	(+)	1	22	0.1
3	BiggsA	(+)	1	19.5	0.07
3	BiggsA	(+)	1	14.7	0.07
3	BiggsA	(+)	1	28.5	0.12
3	BiggsA	(+)	1	14	0.05
3	BiggsA	(+)	1	15.4	0.05
3	BiggsA	(+)	1	27	0.14
3	BiggsA	(+)	1	30.5	0.15
3	BiggsA	(+)	1	24.5	0.13
3	BiggsA	(+)	1	17	0.07
3	BiggsA	(+)	2	28	0.14
3	BiggsA	(+)	2	22.8	0.09
3	BiggsA	(+)	2	17.5	0.07
3	BiggsA	(+)	2	25.9	0.1
3	BiggsA	(+)	2	24.4	0.1
3	BiggsA	(+)	2	24.2	0.1
3	BiggsA	(+)	2	26.7	0.12
3	BiggsA	(+)	2	26.3	0.1
3	BiggsA	(+)	2	19.8	0.06
3	BiggsA	(+)	3	28.3	0.12
3	BiggsA	(+)	3	20.2	0.09
3	BiggsA	(+)	3	19.2	0.1
3	BiggsA	(+)	3	12.1	0.05
3	BiggsA	(+)	3	25.5	0.11
3	BiggsA	(+)	3	17.5	0.07
3	BiggsA	(+)	3	14.6	0.04
3	BiggsA	(+)	3	12.7	0.05
3	BiggsA	(+)	4	23.2	0.09
3	BiggsA	(+)	4	20.5	0.09
3	BiggsA	(+)	4	16	0.06
3	BiggsA	(+)	4	14.2	0.04
3	BiggsA	(+)	4	27.3	0.13
3	BiggsA	(+)	4	26.7	0.12
3	BiggsA	(+)	4	24.5	0.1
3	BiggsA	(+)	4	21	0.12
3	BiggsA	(+)	4	22.5	0.09
3	BiggsA	(+)	5	25	0.11
3	BiggsA	(+)	5	25.2	0.1
3	BiggsA	(+)	5	24.2	0.11
3	BiggsA	(+)	5	19.1	0.09
3	BiggsA	(+)	5	19.6	0.07
3	BiggsA	(+)	5	18.6	0.07
3	BiggsA	(+)	5	24.8	0.1
3	BiggsA	(+)	5	16.3	0.07
3	BiggsA	(+)	5	18.6	0.08
3	BiggsA	(+)	6	15.5	0.06
3	BiggsA	(+)	6	13	0.06
3	BiggsA	(+)	6	26.1	0.12
3	BiggsA	(+)	6	26.6	0.12
3	BiggsA	(+)	6	21.7	0.07
3	BiggsA	(+)	6	26.8	0.11
3	BiggsA	(+)	7	26.7	0.14
3	BiggsA	(+)	7	20.5	0.09
3	BiggsA	(+)	7	23.5	0.08
3	BiggsA	(+)	7	27	0.13
3	BiggsA	(+)	7	24	0.06
3	BiggsA	(+)	7	25.1	0.11
3	BiggsA	(+)	7	25.4	0.13
3	BiggsA	(+)	8	16.2	0.05
3	BiggsA	(+)	8	28.1	0.13
3	BiggsA	(+)	8	22.6	0.1
3	BiggsA	(+)	8	30	0.14
3	BiggsA	(+)	8	30	0.14
3	BiggsA	(+)	8	25.4	0.12
3	BiggsA	(+)	8	21.6	0.09
3	BiggsA	(+)	8	28.2	0.14
3	BiggsA	(+)	8	28	0.13
1	ArbA	-	1	35.2	0.36
1	ArbA	-	1	32	0.19
1	ArbA	-	1	32.3	0.2
1	ArbA	-	1	25.1	0.12
1	ArbA	-	1	30	0.22
1	ArbA	-	1	28.5	0.14
1	ArbA	-	1	32.7	0.17
1	ArbA	-	1	27.7	0.14
1	ArbA	-	2	27.8	0.11
1	ArbA	-	2	29.5	0.13
1	ArbA	-	2	30.1	0.12
1	ArbA	-	2	23	0.07
1	ArbA	-	2	27.4	0.13
1	ArbA	-	2	33.8	0.19
1	ArbA	-	2	30.5	0.19
1	ArbA	-	2	28.2	0.18
1	ArbA	-	2	33.8	0.19
1	ArbA	-	3	29.5	0.14
1	ArbA	-	3	24.5	0.12
1	ArbA	-	3	21.6	0.08
1	ArbA	-	3	24.6	0.08
1	ArbA	-	3	25	0.11
1	ArbA	-	3	33.8	0.18
1	ArbA	-	3	29	0.15
1	ArbA	-	3	31	0.15
1	ArbA	-	3	28.5	0.13
1	ArbA	-	3	17	0.05
1	ArbA	-	4	32.2	0.17
1	ArbA	-	4	21	0.07
1	ArbA	-	4	35.3	0.17
1	ArbA	-	4	31.8	0.19
1	ArbA	-	4	37	0.2
1	ArbA	-	4	32.3	0.23
1	ArbA	-	4	31	0.21
1	ArbA	-	4	34.5	0.18
1	ArbA	-	4	33.5	0.18
1	ArbA	-	5	31.6	0.2
1	ArbA	-	5	32.3	0.15
1	ArbA	-	5	30.6	0.17
1	ArbA	-	5	30.2	0.15
1	ArbA	-	5	32.6	0.2
1	ArbA	-	5	25.8	0.13
1	ArbA	-	5	32	0.23
1	ArbA	-	5	28.5	0.14
1	ArbA	-	6	32	0.15
1	ArbA	-	6	30.5	0.16
1	ArbA	-	6	26.8	0.16
1	ArbA	-	6	31.1	0.21
1	ArbA	-	6	31.4	0.18
1	ArbA	-	6	33.2	0.17
1	ArbA	-	6	28	0.13
1	ArbA	-	6	32.6	0.21
1	ArbA	-	7	24	0.09
1	ArbA	-	7	31.1	0.22
1	ArbA	-	7	36	0.25
1	ArbA	-	7	32.2	0.18
1	ArbA	-	7	31.5	0.17
1	ArbA	-	7	36.5	0.33
1	ArbA	-	7	35.8	0.2
1	ArbA	-	7	30.8	0.15
1	ArbA	-	7	34	0.2
1	ArbA	-	8	30.6	0.14
1	ArbA	-	8	23.6	0.09
1	ArbA	-	8	27.9	0.21
1	ArbA	-	8	30.6	0.19
1	ArbA	-	8	30.4	0.15
1	ArbA	-	8	21.2	0.07
1	ArbA	-	8	26	0.12
1	ArbA	-	8	29.4	0.15
1	ArbA	-	8	27.8	0.15
1	ArbA	-	8	35.2	0.21
4	ArbN	-	1	28.5	0.21
4	ArbN	-	1	32.2	0.2
4	ArbN	-	1	33.5	0.24
4	ArbN	-	1	37.7	0.18
4	ArbN	-	1	31.6	0.27
4	ArbN	-	1	27	0.16
4	ArbN	-	1	35.8	0.24
4	ArbN	-	1	32.3	0.23
4	ArbN	-	2	29.6	0.24
4	ArbN	-	2	29.5	0.15
4	ArbN	-	2	30.6	0.19
4	ArbN	-	2	35.6	0.2
4	ArbN	-	2	29	0.19
4	ArbN	-	2	32.9	0.18
4	ArbN	-	2	33	0.2
4	ArbN	-	2	33	0.16
4	ArbN	-	3	30	0.16
4	ArbN	-	3	23.9	0.18
4	ArbN	-	3	29.3	0.21
4	ArbN	-	3	29.3	0.14
4	ArbN	-	3	32.1	0.17
4	ArbN	-	3	23.5	0.15
4	ArbN	-	3	30.5	0.17
4	ArbN	-	3	33.2	0.17
4	ArbN	-	4	26.3	0.11
4	ArbN	-	4	20.6	0.12
4	ArbN	-	4	30	0.14
4	ArbN	-	4	30.2	0.2
4	ArbN	-	4	31.6	0.2
4	ArbN	-	4	26.5	0.11
4	ArbN	-	4	34.6	0.22
4	ArbN	-	4	29	0.15
4	ArbN	-	4	35.7	0.21
4	ArbN	-	5	35.4	0.24
4	ArbN	-	5	31.7	0.23
4	ArbN	-	5	35.6	0.2
4	ArbN	-	5	33.2	0.26
4	ArbN	-	5	33.7	0.25
4	ArbN	-	5	32.6	0.12
4	ArbN	-	5	29.7	0.18
4	ArbN	-	5	33.4	0.19
4	ArbN	-	6	31.5	0.23
4	ArbN	-	6	27	0.15
4	ArbN	-	6	32.4	0.25
4	ArbN	-	6	32	0.19
4	ArbN	-	6	30.3	0.22
4	ArbN	-	6	32.7	0.22
4	ArbN	-	6	34.4	0.31
4	ArbN	-	6	34.4	0.21
4	ArbN	-	7	30	0.15
4	ArbN	-	7	26.4	0.15
4	ArbN	-	7	32.8	0.19
4	ArbN	-	7	30.4	0.19
4	ArbN	-	7	34.6	0.18
4	ArbN	-	7	33.5	0.19
4	ArbN	-	7	30	0.17
4	ArbN	-	7	32	0.2
4	ArbN	-	8	32.5	0.25
4	ArbN	-	8	27.5	0.15
4	ArbN	-	8	30.9	0.16
4	ArbN	-	8	29.9	0.19
4	ArbN	-	8	24.4	0.16
4	ArbN	-	8	32.5	0.18
4	ArbN	-	8	27.4	0.17
4	ArbN	-	8	33.2	0.18
